key,region,cat1,cat2,amount,time
335,대전광역시,120. 수송 및 교통,124. 해운 및 항만,0,2012
336,대전광역시,120. 수송 및 교통,125. 항공 및 공항,0,2012
337,대전광역시,120. 수송 및 교통,"126. 대중교통, 물류 등 기타",202783,2012
338,대전광역시,140. 국토 및 지역개발,141. 수자원,31729,2012
339,대전광역시,140. 국토 및 지역개발,142. 지역 및 도시,194539,2012
340,대전광역시,140. 국토 및 지역개발,143. 산업단지,25867,2012
341,대전광역시,150. 과학기술,153. 과학기술일반,0,2012
342,대전광역시,160. 예비비,161. 예비비,49385,2012
343,대전광역시,900. 기타,901. 기타,533722,2012
344,부산광역시,010. 일반공공행정,011. 입법 및 선거관리,17498,2012
345,부산광역시,010. 일반공공행정,013. 지방행정 및 재정지원,535443,2012
346,부산광역시,010. 일반공공행정,014. 재정 및 금융,97307,2012
347,부산광역시,010. 일반공공행정,016. 일반행정,484418,2012
348,부산광역시,020. 공공질서 및 안전,023. 경찰,22,2012
349,부산광역시,020. 공공질서 및 안전,025. 재난방재 및 민방위,198536,2012
350,부산광역시,050. 교육,051. 유아 및 초중등 교육,525372,2012
351,부산광역시,050. 교육,052. 고등교육,0,2012
352,부산광역시,050. 교육,053. 평생 및 직업교육,9263,2012
353,부산광역시,060. 문화 및 관광,061. 문화예술,170562,2012
354,부산광역시,060. 문화 및 관광,062. 관광,24942,2012
355,부산광역시,060. 문화 및 관광,063. 체육,166884,2012
356,부산광역시,060. 문화 및 관광,064. 문화재,32208,2012
357,부산광역시,060. 문화 및 관광,065. 문화 및 관광 일반,595,2012
358,부산광역시,070. 환경보호,071. 상하수도 및 수질,477520,2012
359,부산광역시,070. 환경보호,072. 폐기물,167109,2012
360,부산광역시,070. 환경보호,073. 대기,20679,2012
361,부산광역시,070. 환경보호,074. 자연,2845,2012
362,부산광역시,070. 환경보호,075. 해양,24226,2012
363,부산광역시,070. 환경보호,076. 환경보호일반,10396,2012
364,부산광역시,080. 사회복지,081. 기초생활보장,1495414,2012
365,부산광역시,080. 사회복지,082. 취약계층지원,591621,2012
366,부산광역시,080. 사회복지,"084. 보육, 가족 및 여성",713258,2012
367,부산광역시,080. 사회복지,085. 노인 및 청소년,842869,2012
368,부산광역시,080. 사회복지,086. 노동,64816,2012
369,부산광역시,080. 사회복지,087. 보훈,7053,2012
370,부산광역시,080. 사회복지,088. 주택,476,2012
371,부산광역시,080. 사회복지,089. 사회복지일반,7818,2012
372,부산광역시,090. 보건,091. 보건의료,159932,2012
373,부산광역시,090. 보건,093. 식품의약안전,1178,2012
374,부산광역시,100. 농림해양수산,101. 농업 및 농촌,48588,2012
375,부산광역시,100. 농림해양수산,102. 임업 및 산촌,76468,2012
376,부산광역시,100. 농림해양수산,103. 해양수산 및 어촌,114758,2012
377,부산광역시,110. 산업 및 중소기업,112. 산업기술지원,33449,2012
378,부산광역시,110. 산업 및 중소기업,113. 무역 및 투자유치,145101,2012
379,부산광역시,110. 산업 및 중소기업,114. 산업진흥 및 고도화,120986,2012
380,부산광역시,110. 산업 및 중소기업,115. 에너지 및 자원개발,33541,2012
381,부산광역시,110. 산업 및 중소기업,116. 산업 및 중소기업 일반,1634,2012
382,부산광역시,120. 수송 및 교통,121. 도로,631191,2012
383,부산광역시,120. 수송 및 교통,123. 도시철도,822380,2012
384,부산광역시,120. 수송 및 교통,124. 해운 및 항만,0,2012
385,부산광역시,120. 수송 및 교통,125. 항공 및 공항,0,2012
